anatomy_site,abnormality_label,caption
ANKLE,0,A radiograph of an ankle showing no signs of an abnormality.
ANKLE,0,An x-ray image of an ankle with no abnormal findings.
ANKLE,0,Ankle x-ray with a normal appearance.
ANKLE,0,Normal radiographic image of an ankle.
ANKLE,0,Radiograph of an ankle with no indications of an issue.
ANKLE,0,A healthy ankle radiograph with no abnormalities present.
ANKLE,0,X-ray image of an ankle showing a normal anatomy.
ANKLE,0,Ankle radiograph with no signs of a problem.
ANKLE,0,Normal x-ray image of an ankle with no issues.
ANKLE,0,Radiographic image of an ankle with a healthy appearance.
ANKLE,0,A normal ankle x-ray with no abnormalities detected.
ANKLE,0,Ankle x-ray with a normal structure.
ANKLE,0,Normal radiograph of an ankle with no issues.
ANKLE,0,Ankle radiograph showing a healthy bone structure.
ANKLE,0,A normal ankle radiograph with no signs of an issue.
ANKLE,0,X-ray image of an ankle with a normal bone density.
ANKLE,0,Ankle radiograph with a normal appearance and no abnormalities.
ANKLE,0,Normal x-ray image of an ankle with no problems.
ANKLE,0,Radiographic image of an ankle showing no signs of an abnormality.
ANKLE,0,An x-ray image of an ankle showing normal anatomical alignment.
ANKLE,0,A radiograph of an ankle showing no abnormal findings.
ANKLE,0,An x-ray image of an ankle with a healthy appearance.
ANKLE,0,A normal ankle radiograph.
ANKLE,0,Radiographic image of a normal ankle.
ANKLE,0,X-ray image of an ankle without any abnormalities.
ANKLE,0,Ankle radiograph with no notable issues.
ANKLE,0,Normal ankle anatomy on x-ray.
ANKLE,0,Ankle x-ray showing no signs of an abnormality.
ANKLE,0,Radiographic image of a healthy ankle.
ANKLE,0,Normal appearing Ankle x-ray.
ANKLE,0,Normal radiograph of an ankle.
ANKLE,0,Ankle x-ray image with no irregularities.
ANKLE,0,X-ray image of an ankle with a normal structure.
ANKLE,0,Radiograph of an ankle with no complications.
ANKLE,0,Normal ankle x-ray image.
ANKLE,0,Ankle radiograph showing no abnormal features.
ANKLE,0,Healthy ankle radiograph.
ANKLE,0,Normal x-ray image of an ankle.
ANKLE,0,Ankle radiograph with a normal appearance and no issues.
ANKLE,0,A normal radiograph of an ankle.
ANKLE,1,A radiograph of an ankle showing signs of an abnormality.
ANKLE,1,X-ray image of an ankle with an abnormality present.
ANKLE,1,Ankle radiograph revealing an abnormal condition.
ANKLE,1,Radiological image of an ankle with an abnormal finding.
ANKLE,1,Abnormal radiograph of an ankle.
ANKLE,1,Imaging of an ankle with a notable abnormality.
ANKLE,1,X-ray of an ankle displaying an abnormality.
ANKLE,1,Ankle x-ray with signs of an abnormal condition.
ANKLE,1,Radiograph of an ankle showing an abnormality.
ANKLE,1,Abnormality detected on an ankle radiograph.
ANKLE,1,X-ray image of an ankle with an abnormal presence.
ANKLE,1,Radiological examination of an ankle with an abnormality.
ANKLE,1,Ankle x-ray revealing an abnormality.
ANKLE,1,Imaging of an ankle showing an abnormal condition.
ANKLE,1,Abnormal radiological findings in an ankle.
ANKLE,1,X-ray of an ankle with an abnormal presence.
ANKLE,1,Ankle radiograph displaying an abnormality.
ANKLE,1,Abnormality present on an ankle x-ray.
ANKLE,1,Radiograph of an ankle with an abnormal condition.
ANKLE,1,A radiograph of an ankle showing signs of abnormalities.
ANKLE,1,A radiograph of an ankle with an abnormal finding.
ANKLE,1,An x-ray image of an ankle displaying an unusual appearance.
ANKLE,1,A normal x-ray of an ankle with an abnormality present.
ANKLE,1,An image of an ankle showing an abnormality on radiography.
ANKLE,1,An ankle radiograph with an abnormality visible.
ANKLE,1,An x-ray of an ankle with an unusual abnormality.
ANKLE,1,A radiographic image of an ankle with an abnormal finding.
ANKLE,1,An abnormal x-ray of an ankle without a normal appearance.
ANKLE,1,An image of an ankle showing an abnormal radiographic finding.
ANKLE,1,A radiograph of an ankle with an abnormal appearance.
ANKLE,1,An ankle x-ray with a notable abnormality.
ANKLE,1,An x-ray image of an ankle showing a not normal finding.
ANKLE,1,A radiograph of an ankle displaying an abnormality.
ANKLE,1,An image of an ankle with an abnormal radiographic appearance.
ANKLE,1,A radiograph of an ankle with an abnormal condition.
ANKLE,1,An x-ray of an ankle with an abnormality.
ANKLE,1,An image of an ankle showing an abnormal radiographic image.
ANKLE,1,A radiographic image of an ankle with an abnormal condition.
ANKLE,1,An x-ray image of an ankle displaying an abnormality.
ANKLE,1,An image of an ankle with an abnormal x-ray appearance.
ELBOW,0,An x-ray image of an elbow with no signs of abnormality.
ELBOW,0,A radiograph of an elbow showing normal anatomy.
ELBOW,0,A healthy elbow as seen on a medical image.
ELBOW,0,Normal anatomy of an elbow on a film.
ELBOW,0,A radiographic image of an elbow with no irregularities.
ELBOW,0,A normal elbow as captured on an x-ray.
ELBOW,0,An x-ray image of an elbow with no abnormalities.
ELBOW,0,A healthy elbow as observed on a medical radiograph.
ELBOW,0,Normal elbow anatomy on a diagnostic image.
ELBOW,0,A radiograph of an elbow with no signs of disease.
ELBOW,0,A normal elbow as seen on a medical x-ray.
ELBOW,0,An x-ray image of an elbow in a healthy state.
ELBOW,0,A normal elbow as captured on a diagnostic image.
ELBOW,0,A healthy elbow as viewed on a radiograph.
ELBOW,0,Normal elbow anatomy on a medical film.
ELBOW,0,A radiographic image of an elbow with no issues.
ELBOW,0,A normal elbow as observed on a medical image.
ELBOW,0,Normal anatomy of an elbow on a radiograph.
ELBOW,0,A healthy elbow as seen on a diagnostic image.
ELBOW,0,An x-ray image of an elbow with normal anatomy.
ELBOW,0,A radiograph of an elbow showing no signs of abnormality.
ELBOW,0,An x-ray image of an elbow with no notable findings.
ELBOW,0,Normal radiographic appearance of an elbow joint.
ELBOW,0,Imaging of an elbow with a healthy appearance.
